ticker,company,agenda_category,our_decision,majority_decision,majority_strength,alignment,status
000660,SK하이닉스,financial_statements,FOR,FOR,5/7,follows_consensus,exact
000660,SK하이닉스,director_election,FOR,FOR,56/58,follows_consensus,exact
000660,SK하이닉스,director_compensation,FOR,FOR,26/26,follows_consensus,exact
005930,삼성전자,financial_statements,FOR,FOR,6/8,follows_consensus,exact
005930,삼성전자,director_election,FOR,FOR,33/55,follows_consensus,exact
005380,현대차,financial_statements,FOR,FOR,3/3,follows_consensus,exact
005380,현대차,articles_amendment,FOR,FOR,22/22,follows_consensus,exact
005380,현대차,other,FOR,,,no_data,exact
005380,현대차,cash_dividend,FOR,FOR,3/3,follows_consensus,exact
005380,현대차,director_election,FOR,FOR,26/26,follows_consensus,exact
373220,LG에너지솔루션,financial_statements,FOR,FOR,5/6,follows_consensus,exact
373220,LG에너지솔루션,director_election,FOR,FOR,28/30,follows_consensus,exact
373220,LG에너지솔루션,director_compensation,FOR,FOR,15/15,follows_consensus,exact
402340,SK스퀘어,financial_statements,FOR,FOR,7/7,follows_consensus,exact
402340,SK스퀘어,director_election,FOR,FOR,35/38,follows_consensus,exact
402340,SK스퀘어,audit_committee_election,FOR,FOR,23/25,follows_consensus,exact
402340,SK스퀘어,director_compensation,FOR,FOR,17/18,follows_consensus,exact
207940,삼성바이오로직스,financial_statements,FOR,FOR,4/7,follows_consensus,exact
207940,삼성바이오로직스,articles_amendment,FOR,FOR,12/17,follows_consensus,exact
207940,삼성바이오로직스,director_election,FOR,FOR,16/30,follows_consensus,exact
207940,삼성바이오로직스,audit_committee_election,FOR,FOR,13/23,follows_consensus,exact
207940,삼성바이오로직스,director_compensation,FOR,FOR,10/17,follows_consensus,exact
012450,한화에어로스페이스,financial_statements,FOR,FOR,7/7,follows_consensus,exact
012450,한화에어로스페이스,articles_amendment,FOR,FOR,71/71,follows_consensus,exact
012450,한화에어로스페이스,other,FOR,FOR,2/2,follows_consensus,exact
012450,한화에어로스페이스,director_election,FOR,FOR,50/52,follows_consensus,exact
034020,두산에너빌리티,financial_statements,FOR,FOR,7/7,follows_consensus,exact
034020,두산에너빌리티,director_election,FOR,FOR,17/24,follows_consensus,exact
034020,두산에너빌리티,audit_committee_election,FOR,FOR,19/19,follows_consensus,exact
034020,두산에너빌리티,director_compensation,FOR,AGAINST,8/14,weak_consensus_aligned,exact
000270,기아,financial_statements,FOR,FOR,8/8,follows_consensus,exact
000270,기아,articles_amendment,FOR,FOR,42/42,follows_consensus,exact
000270,기아,director_election,FOR,FOR,50/50,follows_consensus,exact
000270,기아,director_compensation,FOR,FOR,15/19,follows_consensus,exact
105560,KB금융,cash_dividend,FOR,FOR,14/14,follows_consensus,exact
105560,KB금융,articles_amendment,FOR,FOR,10/10,follows_consensus,exact
105560,KB금융,director_election,FOR,FOR,56/57,follows_consensus,exact
105560,KB금융,other,FOR,FOR,20/20,follows_consensus,exact
032830,삼성생명,cash_dividend,FOR,FOR,6/9,follows_consensus,exact
032830,삼성생명,articles_amendment,FOR,FOR,12/16,follows_consensus,exact
032830,삼성생명,director_election,FOR,FOR,18/27,follows_consensus,exact
032830,삼성생명,audit_committee_election,FOR,FOR,11/19,follows_consensus,exact
068270,셀트리온,financial_statements,FOR,FOR,8/8,follows_consensus,exact
068270,셀트리온,other,FOR,FOR,8/8,follows_consensus,exact
068270,셀트리온,director_election,REVIEW,FOR,53/70,unique,exact
068270,셀트리온,director_compensation,FOR,FOR,22/26,follows_consensus,exact
028260,삼성물산,financial_statements,FOR,FOR,7/8,follows_consensus,exact
028260,삼성물산,articles_amendment,FOR,FOR,32/44,follows_consensus,exact
028260,삼성물산,other,FOR,,,no_data,exact
028260,삼성물산,director_compensation,FOR,FOR,12/17,follows_consensus,exact
055550,신한지주,financial_statements,FOR,FOR,8/8,follows_consensus,exact
055550,신한지주,articles_amendment,FOR,FOR,15/15,follows_consensus,exact
055550,신한지주,director_election,FOR,FOR,92/97,follows_consensus,exact
055550,신한지주,other,FOR,FOR,16/25,follows_consensus,exact
042660,한화오션,financial_statements,FOR,FOR,5/6,follows_consensus,exact
042660,한화오션,articles_amendment,FOR,FOR,49/53,follows_consensus,exact
042660,한화오션,cash_dividend,FOR,FOR,5/5,follows_consensus,exact
042660,한화오션,other,FOR,,,no_data,exact
042660,한화오션,director_election,FOR,FOR,38/42,follows_consensus,exact
329180,HD현대중공업,financial_statements,FOR,FOR,5/5,follows_consensus,exact
329180,HD현대중공업,director_election,FOR,FOR,12/17,follows_consensus,exact
329180,HD현대중공업,director_compensation,FOR,FOR,10/10,follows_consensus,exact
012330,현대모비스,financial_statements,FOR,FOR,11/11,follows_consensus,exact
012330,현대모비스,cash_dividend,FOR,FOR,25/25,follows_consensus,exact
012330,현대모비스,director_election,FOR,FOR,59/65,follows_consensus,exact
012330,현대모비스,audit_committee_election,FOR,FOR,35/37,follows_consensus,exact
012330,현대모비스,director_compensation,FOR,FOR,18/18,follows_consensus,exact
012330,현대모비스,articles_amendment,FOR,FOR,41/41,follows_consensus,exact
035420,NAVER,financial_statements,FOR,FOR,5/5,follows_consensus,exact
035420,NAVER,director_election,FOR,FOR,29/29,follows_consensus,exact
035420,NAVER,audit_committee_election,FOR,FOR,28/31,follows_consensus,exact
267260,HD현대일렉트릭,financial_statements,FOR,FOR,4/4,follows_consensus,exact
267260,HD현대일렉트릭,director_election,FOR,FOR,13/13,follows_consensus,exact
267260,HD현대일렉트릭,director_compensation,FOR,FOR,9/9,follows_consensus,exact
006800,M레거시증권,cash_dividend,FOR,FOR,6/8,follows_consensus,exact
006800,M레거시증권,director_election,FOR,FOR,30/47,follows_consensus,exact
006800,M레거시증권,audit_committee_election,FOR,FOR,21/30,follows_consensus,exact
009150,삼성전기,financial_statements,FOR,FOR,5/6,follows_consensus,exact
009150,삼성전기,director_election,FOR,FOR,19/24,follows_consensus,exact
009150,삼성전기,director_compensation,FOR,FOR,11/14,follows_consensus,exact
009150,삼성전기,articles_amendment,FOR,FOR,12/15,follows_consensus,exact
010130,고려아연,financial_statements,FOR,FOR,6/6,follows_consensus,exact
010130,고려아연,articles_amendment,FOR,FOR,86/97,follows_consensus,exact
010130,고려아연,director_election,FOR,AGAINST,170/344,weak_consensus_aligned,exact
010130,고려아연,audit_committee_election,FOR,FOR,19/25,follows_consensus,exact
010130,고려아연,director_compensation,FOR,FOR,13/15,follows_consensus,exact
006400,삼성SDI,financial_statements,FOR,FOR,4/8,follows_consensus,exact
006400,삼성SDI,director_election,FOR,FOR,19/29,follows_consensus,exact
006400,삼성SDI,director_compensation,FOR,FOR,10/17,follows_consensus,exact
006400,삼성SDI,articles_amendment,FOR,FOR,23/34,follows_consensus,exact
086790,하나금융지주,financial_statements,FOR,FOR,9/9,follows_consensus,exact
086790,하나금융지주,articles_amendment,FOR,FOR,12/12,follows_consensus,exact
086790,하나금융지주,director_election,FOR,FOR,132/139,follows_consensus,exact
042700,한미반도체,financial_statements,FOR,FOR,8/8,follows_consensus,exact
042700,한미반도체,cash_dividend,FOR,FOR,5/5,follows_consensus,exact
042700,한미반도체,director_election,FOR,FOR,12/12,follows_consensus,exact
042700,한미반도체,director_compensation,FOR,FOR,12/20,follows_consensus,exact
005490,POSCO홀딩스,financial_statements,FOR,FOR,5/5,follows_consensus,exact
005490,POSCO홀딩스,articles_amendment,FOR,FOR,43/43,follows_consensus,exact
005490,POSCO홀딩스,other,FOR,,,no_data,exact
005490,POSCO홀딩스,director_election,FOR,FOR,75/79,follows_consensus,exact
005490,POSCO홀딩스,cash_dividend,FOR,FOR,9/9,follows_consensus,exact
010120,LS ELECTRIC,financial_statements,FOR,FOR,3/3,follows_consensus,exact
010120,LS ELECTRIC,articles_amendment,FOR,FOR,14/16,follows_consensus,exact
010120,LS ELECTRIC,director_election,FOR,FOR,7/8,follows_consensus,exact
010120,LS ELECTRIC,audit_committee_election,FOR,FOR,5/5,follows_consensus,exact
010120,LS ELECTRIC,director_compensation,FOR,FOR,4/5,follows_consensus,exact
009540,HD한국조선해양,financial_statements,FOR,FOR,5/5,follows_consensus,exact
009540,HD한국조선해양,director_election,FOR,FOR,23/23,follows_consensus,exact
009540,HD한국조선해양,audit_committee_election,FOR,FOR,17/18,follows_consensus,exact
009540,HD한국조선해양,director_compensation,FOR,FOR,11/13,follows_consensus,exact
034730,SK,financial_statements,FOR,FOR,5/5,follows_consensus,exact
034730,SK,director_election,FOR,FOR,17/26,follows_consensus,exact
034730,SK,director_compensation,FOR,FOR,19/20,follows_consensus,exact
034730,SK,other,FOR,FOR,2/2,follows_consensus,exact
298040,효성중공업,financial_statements,FOR,FOR,5/5,follows_consensus,exact
298040,효성중공업,director_election,FOR,FOR,34/42,follows_consensus,exact
298040,효성중공업,audit_committee_election,FOR,FOR,19/23,follows_consensus,exact
298040,효성중공업,director_compensation,FOR,FOR,12/12,follows_consensus,exact
272210,한화시스템,financial_statements,FOR,FOR,2/2,follows_consensus,exact
272210,한화시스템,articles_amendment,FOR,FOR,22/26,follows_consensus,exact
272210,한화시스템,other,FOR,,,no_data,exact
272210,한화시스템,cash_dividend,FOR,FOR,6/6,follows_consensus,exact
272210,한화시스템,director_election,FOR,FOR,17/17,follows_consensus,exact
316140,우리금융지주,financial_statements,FOR,FOR,7/9,follows_consensus,exact
316140,우리금융지주,articles_amendment,FOR,FOR,9/11,follows_consensus,exact
316140,우리금융지주,other,FOR,FOR,4/5,follows_consensus,exact
316140,우리금융지주,director_election,FOR,FOR,47/64,follows_consensus,exact
010140,삼성중공업,financial_statements,FOR,FOR,5/6,follows_consensus,exact
010140,삼성중공업,articles_amendment,FOR,FOR,15/21,follows_consensus,exact
010140,삼성중공업,director_election,FOR,FOR,14/22,follows_consensus,exact
